fit,upr,lwr
43.74531325,43.74531325,43.74531325
40.5221793,40.5221793,40.5221793
26.0335265,26.0335265,26.0335265
23.1735312,23.1735312,23.1735312
24.71652664,24.71652664,24.71652664
25.14224599,25.14224599,25.14224599
24.87345943,24.87345943,24.87345943
23.09624109,23.09624109,23.09624109
21.35176252,21.35176252,21.35176252
21.81398493,21.81398493,21.81398493
21.03249768,21.03249768,21.03249768
17.04950963,17.04950963,17.04950963
16.97216162,16.97216162,16.97216162
17.25637501,17.25637501,17.25637501
24.24929737,24.24929737,24.24929737
23.07738553,23.07738553,23.07738553
23.18046919,23.18046919,23.18046919
21.83896258,21.83896258,21.83896258
21.1023905,21.1023905,21.1023905
20.95206757,20.95206757,20.95206757
21.60016287,21.60016287,21.60016287
21.69224649,21.69224649,21.69224649
21.20719283,21.20719283,21.20719283
20.18393079,20.18393079,20.18393079
20.76951925,20.76951925,20.76951925
22.40210197,22.40210197,22.40210197
22.18838049,22.18838049,22.18838049
20.05548988,20.05548988,20.05548988
18.02476218,18.02476218,18.02476218
16.93680381,16.93680381,16.93680381
18.26248204,18.26248204,18.26248204
20.46847795,20.46847795,20.46847795
20.4684237,20.4684237,20.4684237
19.31038043,19.31038043,19.31038043
19.4401546,19.4401546,19.4401546
22.29763215,22.29763215,22.29763215
23.31766681,23.31766681,23.31766681
24.92425056,24.92425056,24.92425056
21.23237064,21.23237064,21.23237064
22.12954675,22.12954675,22.12954675
22.20530102,22.20530102,22.20530102
22.21946733,22.21946733,22.21946733
21.40381962,21.40381962,21.40381962
19.54111244,19.54111244,19.54111244
19.05994909,19.05994909,19.05994909
19.1738052,19.1738052,19.1738052
18.96589488,18.96589488,18.96589488
19.85796606,19.85796606,19.85796606
19.93697808,19.93697808,19.93697808
18.82005393,18.82005393,18.82005393
21.6929764,21.6929764,21.6929764
21.75567179,21.75567179,21.75567179
22.73896328,22.73896328,22.73896328
25.72785991,25.72785991,25.72785991
27.10118629,27.10118629,27.10118629
27.25595396,27.25595396,27.25595396
26.60437171,26.60437171,26.60437171
27.75555892,27.75555892,27.75555892
28.15840737,28.15840737,28.15840737
27.95681672,27.95681672,27.95681672
26.46473015,26.46473015,26.46473015
26.78639961,26.78639961,26.78639961
78.03589413,78.03589413,78.03589413
30.24401189,30.24401189,30.24401189
30.77758096,30.77758096,30.77758096
29.83302624,29.83302624,29.83302624
28.74301392,28.74301392,28.74301392
26.32506124,26.32506124,26.32506124
26.12929993,26.12929993,26.12929993
27.07674238,27.07674238,27.07674238
28.53170705,28.53170705,28.53170705
29.25750112,29.25750112,29.25750112
30.50636035,30.50636035,30.50636035
28.6433748,28.6433748,28.6433748
-8.937442232,-8.937442232,-8.937442232
25.7445253,25.7445253,25.7445253
25.40294772,25.40294772,25.40294772
25.41502467,25.41502467,25.41502467
25.31295384,25.31295384,25.31295384
27.66605036,27.66605036,27.66605036
26.60295623,26.60295623,26.60295623
26.99165176,26.99165176,26.99165176
19.18220626,19.18220626,19.18220626
23.21676044,23.21676044,23.21676044
54.95697139,54.95697139,54.95697139
46.71975174,46.71975174,46.71975174
52.69959705,52.69959705,52.69959705
51.49710803,51.49710803,51.49710803
62.6482298,62.6482298,62.6482298
80.85500849,80.85500849,80.85500849
75.27375107,75.27375107,75.27375107
65.95358856,65.95358856,65.95358856
67.2584282,67.2584282,67.2584282
56.12219144,56.12219144,56.12219144
66.66797758,66.66797758,66.66797758
62.34847867,62.34847867,62.34847867
32.35965627,32.35965627,32.35965627
40.0763758,40.0763758,40.0763758
34.12467987,34.12467987,34.12467987
35.23277665,35.23277665,35.23277665
27.20156952,27.20156952,27.20156952
